Timestamp,Duration (s),Final Score,Questions & Answers
2025-02-01 15:30:34,1812.45,64
2025-02-02 09:15:52,41.38,0
2025-02-02 09:46:05,1807.88,173
2025-02-04 22:15:24,1807.73,211
2025-02-07 00:19:52,1811.78,284
2025-02-09 10:31:44,1802.15,253
2025-02-10 22:27:44,1804.72,260
2025-02-12 08:29:04,1802.42,236
2025-02-12 08:41:27,2.05,0
2025-02-12 08:42:07,9.77,3
2025-02-13 21:47:56,125.95,3
2025-02-13 22:07:46,122.86,15
2025-02-13 22:09:51,123.28,10
2025-02-13 22:12:57,134.52,17
2025-02-13 22:15:50,169.43,17
2025-02-13 22:17:56,123.35,14
2025-02-13 22:20:01,124.0,16
2025-02-13 22:20:05,2.12,0
2025-02-13 22:28:29,124.29,20
2025-02-13 22:30:58,142.0,15
2025-02-13 22:38:48,133.5,19
2025-02-15 21:26:28,124.62,20
2025-02-15 21:34:37,126.87,12
2025-02-15 21:35:23,16.9,4
2025-02-15 21:37:45,123.05,19
2025-02-15 21:39:54,125.28,20
2025-02-15 21:41:57,120.61,19
2025-02-15 21:44:03,124.87,12
2025-02-15 21:46:41,120.69,16
2025-02-15 21:48:47,120.97,18
2025-02-15 21:51:08,139.81,17
2025-02-15 22:15:55,120.93,15
2025-02-15 22:18:25,120.14,16
2025-02-15 22:21:02,152.0,20
2025-02-15 22:29:00,142.38,20
2025-02-15 22:45:40,151.71,14
2025-02-15 22:48:04,122.11,18
2025-02-15 22:51:07,122.67,20
2025-02-15 22:54:55,129.36,16
2025-02-15 22:56:58,120.96,11
2025-02-16 10:22:48,126.06,15
2025-02-16 10:24:52,122.64,15
2025-02-16 10:27:00,126.09,26
2025-02-16 10:29:47,126.52,28
2025-02-16 10:31:54,121.67,25
2025-02-16 10:34:01,124.0,19
2025-02-16 10:36:15,133.27,19
2025-02-16 10:44:57,129.02,29
2025-02-16 10:49:27,121.32,15
2025-02-16 10:52:01,122.53,15
2025-02-16 10:54:03,120.26,9
2025-02-16 10:56:25,126.45,22
2025-02-16 10:58:58,126.59,25
2025-02-17 21:23:30,128.74,21
2025-02-17 21:25:33,120.58,14
2025-02-17 21:29:42,132.23,31
2025-02-17 21:32:12,124.69,19
2025-02-17 21:37:05,122.74,19
2025-02-17 21:40:09,137.64,10
2025-02-17 21:42:23,124.51,11
2025-02-17 21:45:10,122.81,15
2025-02-17 21:47:14,120.93,12
2025-02-17 21:49:20,122.47,16
2025-02-17 21:51:52,123.05,12
